210,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
157,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
269,0.167571,0.187155,-0.0159527,-0.730246,0.25412,2.09893
373,0.142462,0.206974,-0.016158,-0.602837,0.252549,2.09893
489,0.214224,0.131071,-0.0164667,-1.02172,0.250978,2.09754
597,0.0773147,0.238943,-0.0164667,-0.312938,0.250978,2.09754
704,0.0440848,0.24724,-0.0164667,-0.176453,0.250978,2.09754
811,0.0107794,0.250909,-0.0164667,-0.0429351,0.250978,2.09754
927,-0.0253793,0.249854,-0.0164667,0.101229,0.250978,2.09754
037,-0.0584143,0.244252,-0.0164667,0.234747,0.250978,2.09754
140,-0.0882384,0.235128,-0.0164667,0.359014,0.250978,2.09754
253,-0.11771,0.221846,-0.0164667,0.48782,0.250978,2.09754
362,-0.142717,0.206648,-0.0164667,0.604408,0.250978,2.09754
469,-0.163169,0.190911,-0.0164667,0.707207,0.250978,2.09754
583,-0.172045,0.182953,-0.0164667,0.75468,0.250978,2.09754
689,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
797,-0.177968,0.185778,-0.00703994,0.763931,0.287805,2.15723
909,-0.183645,0.191704,0.0205343,0.763931,0.419752,2.27992
016,-0.185537,0.193072,0.0443294,0.765501,0.541052,2.37208
127,-0.181531,0.188902,0.0606091,0.765501,0.65764,2.40279
234,-0.176384,0.183546,0.0707395,0.765501,0.749619,2.4089
343,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
458,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
566,-0.168062,0.187177,0.0738648,0.731642,0.781733,2.4089
673,-0.142012,0.207636,0.0738648,0.59987,0.781733,2.4089
