09.07.2019 15:54:24.085,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
09.07.2019 15:54:31.984,0.115493,0.223476,0.0738648,-0.476998,0.781733,2.4089
09.07.2019 15:54:32.092,0.141032,0.208303,0.0738648,-0.595157,0.781733,2.4089
09.07.2019 15:54:32.207,0.162837,0.19174,0.0738648,-0.704066,0.781733,2.4089
09.07.2019 15:54:32.312,0.171785,0.183766,0.0738648,-0.751713,0.781733,2.4089
09.07.2019 15:54:32.425,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
09.07.2019 15:54:32.535,0.172629,0.180204,0.0622245,-0.763931,0.732689,2.3445
09.07.2019 15:54:32.641,0.171287,0.178242,0.0372097,-0.765501,0.603884,2.22634
09.07.2019 15:54:32.753,0.169522,0.176406,0.0143168,-0.765501,0.475079,2.13122
09.07.2019 15:54:32.862,0.171646,0.178616,-0.00137884,-0.765501,0.363028,2.10661
09.07.2019 15:54:32.976,0.173815,0.180873,-0.0129224,-0.765501,0.275587,2.10207
09.07.2019 15:54:33.079,0.174233,0.181308,-0.0151268,-0.765501,0.258658,2.10207
09.07.2019 15:54:33.194,0.167277,0.187418,-0.0159527,-0.728675,0.25412,2.09893
09.07.2019 15:54:33.300,0.140869,0.208062,-0.016158,-0.595157,0.252549,2.09893
09.07.2019 15:54:33.407,0.11084,0.225357,-0.0164667,-0.457102,0.250978,2.09754
09.07.2019 15:54:33.520,0.0765636,0.239185,-0.0164667,-0.309796,0.250978,2.09754
09.07.2019 15:54:33.626,0.0440848,0.24724,-0.0164667,-0.176453,0.250978,2.09754
09.07.2019 15:54:33.739,0.00810755,0.251009,-0.0164667,-0.0322886,0.250978,2.09754
09.07.2019 15:54:33.846,-0.0242452,0.249967,-0.0164667,0.0966912,0.250978,2.09754
09.07.2019 15:54:33.953,-0.0565369,0.244693,-0.0164667,0.227067,0.250978,2.09754
09.07.2019 15:54:34.062,-0.087869,0.235267,-0.0164667,0.357443,0.250978,2.09754
09.07.2019 15:54:34.175,-0.11771,0.221846,-0.0164667,0.48782,0.250978,2.09754
09.07.2019 15:54:34.288,-0.143976,0.205772,-0.0164667,0.610516,0.250978,2.09754
09.07.2019 15:54:34.395,-0.163735,0.190426,-0.0164667,0.710174,0.250978,2.09754
09.07.2019 15:54:34.500,-0.172045,0.182953,-0.0164667,0.75468,0.250978,2.09754
09.07.2019 15:54:34.609,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
09.07.2019 15:54:34.724,-0.178367,0.186195,-0.00521586,0.763931,0.297055,2.16491
09.07.2019 15:54:34.830,-0.183646,0.191705,0.0210718,0.763931,0.422893,2.28149
09.07.2019 15:54:34.937,-0.185505,0.193038,0.0448384,0.765501,0.544019,2.37365
09.07.2019 15:54:35.049,-0.181367,0.188731,0.0612449,0.765501,0.662178,2.40419
09.07.2019 15:54:35.156,-0.176284,0.183442,0.0708946,0.765501,0.75119,2.4089
09.07.2019 15:54:35.268,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
09.07.2019 15:54:35.375,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
09.07.2019 15:54:35.483,-0.167801,0.187411,0.0738648,0.730246,0.781733,2.4089
09.07.2019 15:54:35.591,-0.141359,0.208081,0.0738648,0.596728,0.781733,2.4089
09.07.2019 15:54:35.707,-0.109998,0.226231,0.0738648,0.452564,0.781733,2.4089
09.07.2019 15:54:35.814,-0.0778184,0.239216,0.0738648,0.314508,0.781733,2.4089
09.07.2019 15:54:35.928,-0.0437686,0.247718,0.0738648,0.174882,0.781733,2.4089
09.07.2019 15:54:36.036,-0.00965666,0.25137,0.0738648,0.0383972,0.781733,2.4089
09.07.2019 15:54:36.143,0.023892,0.250418,0.0738648,-0.0951204,0.781733,2.4089
09.07.2019 15:54:36.254,0.0570153,0.245009,0.0738648,-0.228638,0.781733,2.4089
09.07.2019 15:54:36.362,0.0887131,0.235393,0.0738648,-0.36041,0.781733,2.4089
09.07.2019 15:54:36.471,0.117205,0.222582,0.0738648,-0.484678,0.781733,2.4089
09.07.2019 15:54:36.577,0.142302,0.207438,0.0738648,-0.601266,0.781733,2.4089
09.07.2019 15:54:36.689,0.163439,0.191227,0.0738648,-0.707207,0.781733,2.4089
09.07.2019 15:54:36.797,0.172041,0.183526,0.0738648,-0.75311,0.781733,2.4089
09.07.2019 15:54:36.911,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
09.07.2019 15:54:37.020,0.172629,0.180204,0.0622245,-0.763931,0.732689,2.3445
09.07.2019 15:54:37.125,0.17133,0.178287,0.0375251,-0.765501,0.605455,2.22791
09.07.2019 15:54:37.240,0.169522,0.176406,0.0143168,-0.765501,0.475079,2.13122
09.07.2019 15:54:37.347,0.171593,0.178561,-0.00118067,-0.765501,0.364599,2.10661
09.07.2019 15:54:37.455,0.173734,0.180789,-0.0125145,-0.765501,0.278729,2.10207
09.07.2019 15:54:37.563,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
09.07.2019 15:54:37.678,0.167571,0.187155,-0.0159527,-0.730246,0.25412,2.09893
09.07.2019 15:54:37.783,0.141195,0.207841,-0.016158,-0.596728,0.252549,2.09893
09.07.2019 15:54:37.892,0.11084,0.225357,-0.0164667,-0.457102,0.250978,2.09754
09.07.2019 15:54:38.001,0.0776899,0.238821,-0.0164667,-0.314508,0.250978,2.09754
09.07.2019 15:54:38.112,0.0436963,0.247309,-0.0164667,-0.174882,0.250978,2.09754
09.07.2019 15:54:38.220,0.0100349,0.250939,-0.0164667,-0.039968,0.250978,2.09754
09.07.2019 15:54:38.328,-0.023067,0.250078,-0.0164667,0.0919789,0.250978,2.09754
09.07.2019 15:54:38.441,-0.0580306,0.244344,-0.0164667,0.233176,0.250978,2.09754
09.07.2019 15:54:38.548,-0.0889357,0.234865,-0.0164667,0.361981,0.250978,2.09754
09.07.2019 15:54:38.655,-0.117012,0.222215,-0.0164667,0.484678,0.250978,2.09754
09.07.2019 15:54:38.767,-0.142717,0.206648,-0.0164667,0.604408,0.250978,2.09754
09.07.2019 15:54:38.875,-0.163169,0.190911,-0.0164667,0.707207,0.250978,2.09754
09.07.2019 15:54:38.984,-0.171757,0.183223,-0.0164667,0.75311,0.250978,2.09754
09.07.2019 15:54:39.098,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
09.07.2019 15:54:39.206,-0.177926,0.185734,-0.00683666,0.763931,0.289376,2.15723
09.07.2019 15:54:39.316,-0.183597,0.191654,0.020207,0.763931,0.418181,2.27853
09.07.2019 15:54:39.423,-0.185502,0.193034,0.0439818,0.765501,0.539481,2.37051
09.07.2019 15:54:39.535,-0.181451,0.188819,0.0607582,0.765501,0.659036,2.40279
09.07.2019 15:54:39.641,-0.176484,0.183651,0.0705842,0.765501,0.748048,2.4089
09.07.2019 15:54:39.753,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
09.07.2019 15:54:39.861,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
09.07.2019 15:54:39.968,-0.168649,0.186648,0.0738648,0.734784,0.781733,2.4089
09.07.2019 15:54:40.082,-0.140413,0.20872,0.0738648,0.59219,0.781733,2.4089
09.07.2019 15:54:40.188,-0.111024,0.225729,0.0738648,0.457102,0.781733,2.4089
09.07.2019 15:54:40.297,-0.0789031,0.238861,0.0738648,0.319046,0.781733,2.4089
09.07.2019 15:54:40.411,-0.0445466,0.24758,0.0738648,0.178024,0.781733,2.4089
09.07.2019 15:54:40.518,-0.011192,0.251306,0.0738648,0.0445059,0.781733,2.4089
09.07.2019 15:54:40.629,0.0242853,0.25038,0.0738648,-0.0966912,0.781733,2.4089
09.07.2019 15:54:40.737,0.0566304,0.245098,0.0738648,-0.227067,0.781733,2.4089
09.07.2019 15:54:40.848,0.0890827,0.235254,0.0738648,-0.361981,0.781733,2.4089
09.07.2019 15:54:40.955,0.117205,0.222582,0.0738648,-0.484678,0.781733,2.4089
09.07.2019 15:54:41.064,0.142627,0.207214,0.0738648,-0.602837,0.781733,2.4089
09.07.2019 15:54:41.171,0.162837,0.19174,0.0738648,-0.704066,0.781733,2.4089
09.07.2019 15:54:41.285,0.172041,0.183526,0.0738648,-0.75311,0.781733,2.4089
