09.07.2019 15:52:00.520,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
09.07.2019 15:52:02.522,-0.0618177,0.251677,-0.0872444,0.240855,-0.336499,2.18952
09.07.2019 15:52:02.522,-0.024877,0.252355,-0.0757389,0.098262,-0.195302,2.10365
09.07.2019 15:52:02.522,-0.00351605,0.25499,-0.0565872,0.0137881,-0.0479966,2.09597
09.07.2019 15:52:02.522,-0.00115391,0.254283,-0.0366535,0.00453786,0.100705,2.0944
09.07.2019 15:52:03.523,-0.00114024,0.25127,-0.019812,0.00453786,0.228115,2.09282
09.07.2019 15:52:03.523,-0.00113691,0.250538,-0.0168135,0.00453786,0.250978,2.09282
09.07.2019 15:52:03.523,-0.001136,0.250338,-0.0169285,0.00453786,0.250978,2.09125
09.07.2019 15:52:03.523,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:52:03.523,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:52:03.523,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:52:03.523,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:52:03.523,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:52:03.523,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:52:04.524,-0.0103687,0.250526,-0.0166982,0.0413643,0.250978,2.0944
09.07.2019 15:52:04.524,-0.042885,0.247249,-0.0165826,0.17174,0.250978,2.09597
09.07.2019 15:52:04.524,-0.0757933,0.23922,-0.0165826,0.306829,0.250978,2.09597
09.07.2019 15:52:04.524,-0.105218,0.227816,-0.0165826,0.432667,0.250978,2.09597
09.07.2019 15:52:04.524,-0.133275,0.212624,-0.0165826,0.559902,0.250978,2.09597
09.07.2019 15:52:04.524,-0.156214,0.196388,-0.0165826,0.671952,0.250978,2.09597
09.07.2019 15:52:04.524,-0.170788,0.183854,-0.0165826,0.748572,0.250978,2.09597
09.07.2019 15:52:04.524,-0.173307,0.181482,-0.0165826,0.76236,0.250978,2.09597
09.07.2019 15:52:04.524,-0.173592,0.18121,-0.0165826,0.763931,0.250978,2.09597
09.07.2019 15:52:05.525,-0.177842,0.185646,-0.00643036,0.763931,0.292517,2.15723
09.07.2019 15:52:05.525,-0.183594,0.19105,0.020101,0.765501,0.419752,2.27539
09.07.2019 15:52:05.525,-0.185353,0.192879,0.0452009,0.765501,0.547161,2.37365
09.07.2019 15:52:05.525,-0.181361,0.188726,0.0609258,0.765501,0.660607,2.40279
09.07.2019 15:52:05.525,-0.176277,0.183435,0.070568,0.765501,0.749619,2.40733
09.07.2019 15:52:05.525,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
09.07.2019 15:52:05.525,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
09.07.2019 15:52:05.525,-0.167506,0.187675,0.0738648,0.728675,0.781733,2.4089
09.07.2019 15:52:05.525,-0.141032,0.208303,0.0738648,0.595157,0.781733,2.4089
09.07.2019 15:52:06.526,-0.112086,0.225204,0.0738648,0.461814,0.781733,2.4089
09.07.2019 15:52:06.526,-0.0785278,0.238984,0.0738648,0.317475,0.781733,2.4089
09.07.2019 15:52:06.526,-0.045281,0.247446,0.0738648,0.180991,0.781733,2.4089
09.07.2019 15:52:06.526,-0.0115867,0.251288,0.0738648,0.0460767,0.781733,2.4089
09.07.2019 15:52:06.526,0.0246786,0.250342,0.0738648,-0.098262,0.781733,2.4089
09.07.2019 15:52:06.526,0.0562453,0.245187,0.0738648,-0.225497,0.781733,2.4089
09.07.2019 15:52:06.526,0.0880143,0.235656,0.0738648,-0.357443,0.781733,2.4089
09.07.2019 15:52:06.526,0.117904,0.222213,0.0738648,-0.48782,0.781733,2.4089
09.07.2019 15:52:06.526,0.142627,0.207214,0.0738648,-0.602837,0.781733,2.4089
09.07.2019 15:52:07.527,0.163138,0.191484,0.0738648,-0.705637,0.781733,2.4089
09.07.2019 15:52:07.527,0.171785,0.183766,0.0738648,-0.751713,0.781733,2.4089
09.07.2019 15:52:07.527,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
09.07.2019 15:52:07.527,0.172546,0.180118,0.0606655,-0.763931,0.72501,2.33682
09.07.2019 15:52:07.527,0.170773,0.178267,0.0348836,-0.763931,0.591667,2.21552
09.07.2019 15:52:07.527,0.169521,0.176405,0.0138168,-0.765501,0.471937,2.12965
09.07.2019 15:52:07.527,0.171622,0.178591,-0.00185817,-0.765501,0.360061,2.10522
09.07.2019 15:52:07.527,0.173854,0.180914,-0.0131265,-0.765501,0.274017,2.10207
09.07.2019 15:52:07.527,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
09.07.2019 15:52:07.527,0.168419,0.186393,-0.0159527,-0.734784,0.25412,2.09893
09.07.2019 15:52:08.528,0.140869,0.208062,-0.016158,-0.595157,0.252549,2.09893
09.07.2019 15:52:08.528,0.11084,0.225357,-0.0164667,-0.457102,0.250978,2.09754
09.07.2019 15:52:08.528,0.0795216,0.238218,-0.0164667,-0.322188,0.250978,2.09754
09.07.2019 15:52:08.528,0.0448181,0.247109,-0.0164667,-0.17942,0.250978,2.09754
09.07.2019 15:52:08.528,0.0100349,0.250939,-0.0164667,-0.039968,0.250978,2.09754
09.07.2019 15:52:08.528,-0.0234598,0.250042,-0.0164667,0.0935496,0.250978,2.09754
