17.410,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
43.016,0.171494,0.178458,-0.000806655,-0.765501,0.367566,2.10661
43.126,0.173734,0.180789,-0.0125145,-0.765501,0.278729,2.10207
43.237,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
43.345,0.168419,0.186393,-0.0159527,-0.734784,0.25412,2.09893
43.453,0.142462,0.206974,-0.016158,-0.602837,0.252549,2.09893
43.568,0.110171,0.225685,-0.0164667,-0.454135,0.250978,2.09754
43.673,0.0780649,0.238699,-0.0164667,-0.316079,0.250978,2.09754
43.782,0.0444731,0.247171,-0.0164667,-0.178024,0.250978,2.09754
43.891,0.0103853,0.250925,-0.0164667,-0.0413643,0.250978,2.09754
44.004,-0.0242452,0.249967,-0.0164667,0.0966912,0.250978,2.09754
44.114,-0.0572627,0.244525,-0.0164667,0.230034,0.250978,2.09754
44.215,-0.0871294,0.235541,-0.0164667,0.354302,0.250978,2.09754
44.328,-0.116702,0.222378,-0.0164667,0.483282,0.250978,2.09754
44.440,-0.142067,0.207095,-0.0164667,0.601266,0.250978,2.09754
44.553,-0.163469,0.190655,-0.0164667,0.708778,0.250978,2.09754
44.659,-0.172045,0.182953,-0.0164667,0.75468,0.250978,2.09754
44.769,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
44.873,-0.177716,0.185515,-0.00728077,0.763931,0.287805,2.15426
44.989,-0.183645,0.191704,0.0205343,0.763931,0.419752,2.27992
45.095,-0.185537,0.193072,0.0443294,0.765501,0.541052,2.37208
45.207,-0.181547,0.188919,0.06091,0.765501,0.659036,2.40419
45.314,-0.176484,0.183651,0.0705842,0.765501,0.748048,2.4089
45.421,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
45.539,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
45.639,-0.169786,0.185614,0.0738648,0.740892,0.781733,2.4089
45.752,-0.142302,0.207438,0.0738648,0.601266,0.781733,2.4089
45.864,-0.111378,0.225555,0.0738648,0.458673,0.781733,2.4089
45.971,-0.0799862,0.2385,0.0738648,0.323584,0.781733,2.4089
46.079,-0.0471799,0.247091,0.0738648,0.18867,0.781733,2.4089
46.186,-0.0135161,0.251192,0.0738648,0.0537561,0.781733,2.4089
46.298,0.0215746,0.250628,0.0738648,-0.0858702,0.781733,2.4089
46.406,0.0547465,0.245526,0.0738648,-0.219388,0.781733,2.4089
46.520,0.087644,0.235794,0.0738648,-0.355873,0.781733,2.4089
46.624,0.115181,0.223637,0.0738648,-0.475602,0.781733,2.4089
46.739,0.142012,0.207636,0.0738648,-0.59987,0.781733,2.4089
46.847,0.162536,0.191995,0.0738648,-0.702495,0.781733,2.4089
46.954,0.171785,0.183766,0.0738648,-0.751713,0.781733,2.4089
47.068,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
47.174,0.172549,0.180121,0.0630017,-0.763931,0.737402,2.34747
47.285,0.171133,0.178643,0.0373506,-0.763931,0.603884,2.22791
47.389,0.169582,0.176469,0.0155928,-0.765501,0.482758,2.13576
47.502,0.171541,0.178507,-0.000982608,-0.765501,0.36617,2.10661
47.611,0.173872,0.180932,-0.0123973,-0.765501,0.278729,2.10365
47.723,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
47.828,0.169138,0.18601,-0.0158362,-0.737925,0.25412,2.1005
47.943,0.141195,0.207841,-0.016158,-0.596728,0.252549,2.09893
48.050,0.111548,0.225008,-0.0164667,-0.460243,0.250978,2.09754
48.157,0.0783982,0.23859,-0.0164667,-0.317475,0.250978,2.09754
48.265,0.0455942,0.246967,-0.0164667,-0.182561,0.250978,2.09754
48.378,0.0100349,0.250939,-0.0164667,-0.039968,0.250978,2.09754
